date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:51	255/255	---M-Z	200	added ('OK')	text/plain	date:Fri,%2018%20Aug%202017%2002:07:23%20GMT	http://www.zdnet.com/robots.txt		(from )
14:23:52	113520/113520	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Aug%202017%2007:23:51%20GMT	http://www.zdnet.com/article/ibm-blockchain-to-help-prevent-contamination-in-global-food-supply-chain/	C:/Users/trung%20anh/Desktop/techsite/asa/www.zdnet.com/article/ibm-blockchain-to-help-prevent-contamination-in-global-food-supply-chain/index.html	(from )
14:23:53	339737/339737	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Aug%202017%2002:11:07%20GMT	http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css	(from http://www.zdnet.com/article/ibm-blockchain-to-help-prevent-contamination-in-global-food-supply-chain/)
14:23:54	12532/12532	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2009%20Mar%202017%2015:27:21%20GMT	http://zdnet3.cbsistatic.com/fly/bundles/zdnetjs/js/libs/mpulse-1.0.2.js	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet3.cbsistatic.com/fly/bundles/zdnetjs/js/libs/mpulse-1.0.2.js	(from http://www.zdnet.com/article/ibm-blockchain-to-help-prevent-contamination-in-global-food-supply-chain/)
14:23:55	8101/8101	---M-Z	200	added ('OK')	image/png	date:Thu,%2015%20Dec%202016%2020:40:22%20GMT	http://zdnet3.cbsistatic.com/fly/bundles/zdnetcss/images/logos/logo-192x192.png	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet3.cbsistatic.com/fly/bundles/zdnetcss/images/logos/logo-192x192.png	(from http://www.zdnet.com/article/ibm-blockchain-to-help-prevent-contamination-in-global-food-supply-chain/)
14:23:55	4020/4020	---M-Z	200	added ('OK')	image/jpeg	date:Tue,%2001%20Sep%202015%2002:30:47%20GMT	http://zdnet2.cbsistatic.com/hub/i/r/2015/09/01/3df21dcf-ace1-43ea-a874-ea06aaddd482/thumbnail/40x40/2e7aa98761b67de1e88eac496d2ae40e/asha-barbaschow-140-105.jpg	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet2.cbsistatic.com/hub/i/r/2015/09/01/3df21dcf-ace1-43ea-a874-ea06aaddd482/thumbnail/40x40/2e7aa98761b67de1e88eac496d2ae40e/asha-barbaschow-140-105.jpg	(from http://www.zdnet.com/article/ibm-blockchain-to-help-prevent-contamination-in-global-food-supply-chain/)
14:23:55	4761/4761	---M-Z	200	added ('OK')	image/jpeg	date:Tue,%2022%20Aug%202017%2019:39:49%20GMT	http://zdnet4.cbsistatic.com/hub/i/r/2017/08/22/05e833ee-60e7-4417-a79c-8ec1130db3c0/thumbnail/170x128/3455102ac5ae216b0132a48787f88bed/brainwavefpga.jpg	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet4.cbsistatic.com/hub/i/r/2017/08/22/05e833ee-60e7-4417-a79c-8ec1130db3c0/thumbnail/170x128/3455102ac5ae216b0132a48787f88bed/brainwavefpga.jpg	(from http://www.zdnet.com/article/ibm-blockchain-to-help-prevent-contamination-in-global-food-supply-chain/)
14:23:56	4922/4922	---M-Z	200	added ('OK')	image/jpeg	date:Tue,%2018%20Oct%202016%2003:29:56%20GMT	http://zdnet3.cbsistatic.com/hub/i/r/2015/02/24/064d4ce8-e5cf-4808-ba82-e1fee6108940/thumbnail/170x128/6d9b73cb254ab4214721fb867e18f402/sikka-one.jpg	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet3.cbsistatic.com/hub/i/r/2015/02/24/064d4ce8-e5cf-4808-ba82-e1fee6108940/thumbnail/170x128/6d9b73cb254ab4214721fb867e18f402/sikka-one.jpg	(from http://www.zdnet.com/article/ibm-blockchain-to-help-prevent-contamination-in-global-food-supply-chain/)
14:23:56	5591/5591	---M-Z	200	added ('OK')	image/jpeg	date:Tue,%2022%20Aug%202017%2017:53:09%20GMT	http://zdnet4.cbsistatic.com/hub/i/r/2017/08/22/b45a6a40-082a-4ab8-a607-9d94424db59e/thumbnail/170x128/a563aca718bc83f4a6befe3c62243b70/trex-jaws.jpg	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet4.cbsistatic.com/hub/i/r/2017/08/22/b45a6a40-082a-4ab8-a607-9d94424db59e/thumbnail/170x128/a563aca718bc83f4a6befe3c62243b70/trex-jaws.jpg	(from http://www.zdnet.com/article/ibm-blockchain-to-help-prevent-contamination-in-global-food-supply-chain/)
14:23:57	16213/16213	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2027%20Apr%202017%2020:30:59%20GMT	http://zdnet3.cbsistatic.com/fly/js/libs/require-2.1.2.js	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet3.cbsistatic.com/fly/js/libs/require-2.1.2.js	(from http://www.zdnet.com/article/ibm-blockchain-to-help-prevent-contamination-in-global-food-supply-chain/)
